city,xco2_ppm,xco2_numsams,xco2_std,lat_mean,lon_mean,lat_median,lon_median,target_name,sif_757nm,sif_numsams,sif_std,wkt_center,wkt_boundary,country,region,population,gdp_bil_usd,annual_co2_em_mtco2,numsams_ahn2025,low_sample_count,quadrant,coastal_km,is_coastal
Bhuj,417.79126,7650.0,1.9114854,22.941181,69.53576,22.93892,69.538605,fossil_Mundra_Umpp_powerplant,0.118656635,24212,0.14845736,POINT(69.5281 22.8158),"POLYGON((69.23645034959148 22.54462976058219,69.2352944678024 23.08642525472155,69.82090553219759 23.08642525472155,69.81974965040851 22.54462976058219,69.23645034959148 22.54462976058219))",,,,,,,True,LOW_emissions_HIGH_conc,14.423404364890713,True
Birmingham,416.39844,6492.0,2.8840992,33.623928,-87.16082,33.623734,-87.15552,fossil_Miller_Power_Plant_USA,0.2841997,19770,0.21051219,POINT(-87.12 33.64),"POLYGON((-87.54937747621666 33.27861435774051,-87.55297230676595 33.99986111141043,-86.68702769323404 33.99986111141043,-86.69062252378335 33.27861435774051,-87.54937747621666 33.27861435774051))",,,,,,,True,LOW_both,432.2348355487087,False
Bloomington,417.5016,1228.0,2.7194698,39.327034,-86.41347,39.331017,-86.41504,ecostress_us_mms,0.38927364,4745,0.28260657,POINT(-86.4131 39.3232),"POLYGON((-86.64444254791192 39.14282258500467,-86.64563247863504 39.50310970641588,-86.18056752136496 39.50310970641588,-86.18175745208808 39.14282258500467,-86.64444254791192 39.14282258500467))",,,,,,,True,LOW_both,1063.767106178092,False
Bogota,416.65347,1317.0,2.916134,4.6775074,-74.07831,4.695433,-74.09509,fossil_Bogota_Colombia,0.2210741,33027,0.2613881,POINT(-74.06940999999995 4.614960000000053),"POLYGON((-74.42972177036602 4.253149579496219,-74.43008674702715 4.976583622398371,-73.70873325297279 4.976583622398371,-73.70909822963392 4.253149579496219,-74.42972177036602 4.253149579496219))",,,,,,,True,LOW_both,350.9996161751443,False
Boston,417.16803,10178.0,4.248248,42.394817,-71.17736,42.41555,-71.17819,fossil_Boston_USA,0.25236988,27338,0.2293335,POINT(-71.05673999999993 42.35866000000004),"POLYGON((-71.53951971757938 41.9975334610992,-71.545064147 42.71770768811299,-70.5684158529999 42.71770768811299,-70.57396028242053 41.9975334610992,-71.53951971757938 41.9975334610992))",USA,North America,2043464.0,240.7,27.917,7.0,False,LOW_both,25.84321354878299,True
Boulder,414.75955,1599.0,2.3979702,40.02753,-105.47212,40.01994,-105.45416,sif_Niwot_Ridge_Colorado_USA,0.07578373,5001,0.13367599,POINT(-105.5464 40.0329),"POLYGON((-105.7801072089452 39.85253882193856,-105.7813400197086 40.21278172469827,-105.3114599802915 40.21278172469827,-105.3126927910548 39.85253882193856,-105.7801072089452 39.85253882193856))",,,,,,,True,LOW_both,1481.2865988568788,False
Brisbane,415.1929,22475.0,2.9206057,-27.522797,152.91487,-27.545803,152.91405,fossil_Brisbane_Australia,0.1766491,50763,0.1612804,POINT(153.0233400000001 -27.46843999999993),"POLYGON((152.6173174554914 -27.82880876000389,152.6199544408832 -27.10687641933376,153.4267255591169 -27.10687641933376,153.4293625445087 -27.82880876000389,152.6173174554914 -27.82880876000389))",,,,,,,True,LOW_both,18.540165661093077,True
Bristol,416.2409,2877.0,3.930499,51.188625,-2.820184,51.17932,-2.8354414,ecostress_sleg,0.38043022,16675,0.26946992,POINT(-2.828505 51.207282),"POLYGON((-3.113581886231742 51.02715985670034,-3.115810204984768 51.38669870356617,-2.541199795015245 51.38669870356617,-2.543428113768272 51.02715985670034,-3.113581886231742 51.02715985670034))",,,,,,,True,LOW_both,76.01331337470593,False
Brussels,415.36212,16147.0,2.569583,50.8106,4.3646765,50.814777,4.361883,fossil_Brussels_Belgium,0.32322407,50433,0.2153484,POINT(4.356090000000052 50.84439000000003),"POLYGON((3.792499788219885 50.483448727441,3.783769428095752 51.2025450860602,4.928410571904351 51.2025450860602,4.919680211780218 50.483448727441,3.792499788219885 50.483448727441))",,,,,,,True,LOW_both,142.8837557444751,False
Bryan,419.9159,292.0,2.7740445,30.58163,-96.4717,30.612167,-96.50972,ecostress_us_tx5,0.22042274,1221,0.22148457,POINT(-96.4252 30.5328),"POLYGON((-96.63322201175768 30.352226679817,-96.63399223672921 30.71303494558702,-96.21640776327081 30.71303494558702,-96.21717798824234 30.352226679817,-96.63322201175768 30.352226679817))",,,,,,,True,LOW_emissions_HIGH_conc,230.69959517717515,False
Bucharest,414.50693,30821.0,4.4755683,44.432682,26.07774,44.431477,26.075312,fossil_Bucharest_Romania,0.24055624,71848,0.23651022,POINT(26.10298000000006 44.43429000000003),"POLYGON((25.60364786538 44.07321860693519,25.59747974411565 44.79312873515497,26.60848025588447 44.79312873515497,26.60231213462012 44.07321860693519,25.60364786538 44.07321860693519))",,,,,,,True,LOW_both,278.37476089942516,False
Budapest,416.6934,29193.0,4.002848,47.494453,19.041323,47.491146,19.04009,fossil_Budapest_Hungary,0.3079834,66625,0.25806552,POINT(19.05508000000003 47.49972000000008),"POLYGON((18.52778141472987 47.13872000078531,18.52052767254438 47.85823933267335,19.58963232745569 47.85823933267335,19.58237858527019 47.13872000078531,18.52778141472987 47.13872000078531))",,,,,,,True,LOW_both,605.2056471049779,False
Buenos Aires,412.54712,20906.0,2.9424596,-34.71305,-58.522396,-34.7433,-58.545734,fossil_Buenos_Aires_Argentina,0.16853762,35026,0.20323524,POINT(-58.37343999999996 -34.60848999999996),"POLYGON((-58.81144524536109 -34.96826607006663,-58.80767459574112 -34.24713370919442,-57.9392054042588 -34.24713370919442,-57.93543475463883 -34.96826607006663,-58.81144524536109 -34.96826607006663))",Argentina,Latin America,14671264.0,448.2,38.885,18.0,False,LOW_both,9.846067415224567,True
Bursa,413.2395,15107.0,3.9061782,40.167576,29.002037,40.195538,28.975296,fossil_Chios_Turkey,0.19705915,36154,0.19304542,POINT(29.04675000000003 40.19208000000003),"POLYGON((28.57948073383727 39.83089182431041,28.57451005526738 40.5513396149548,29.51898994473268 40.5513396149548,29.51401926616279 39.83089182431041,28.57948073383727 39.83089182431041))",,,,,,,True,LOW_both,46.55977858375634,True
Busan,418.1606,6996.0,3.7051435,35.380547,129.01752,35.376377,129.04883,fossil_Pusan_South_Korea,0.21728468,24960,0.20504665,POINT(129.0402800000001 35.31),"POLYGON((128.6023790313168 34.94866504749815,128.5984758042244 35.66971360945325,129.4820841957757 35.66971360945325,129.4781809686833 34.94866504749815,128.6023790313168 34.94866504749815))",,,,,,,True,LOW_emissions_HIGH_conc,20.100596632193586,True
Caceres,415.33664,5521.0,2.363444,-16.609406,-56.770893,-16.60737,-56.77324,ecostress_br_no,0.21736193,19622,0.16979928,POINT(-56.76666700000001 -16.616667),"POLYGON((-56.95428493189533 -16.7973053035508,-56.95393421567819 -16.43585648135678,-56.57939978432185 -16.43585648135678,-56.57904906810469 -16.7973053035508,-56.95428493189533 -16.7973053035508))",,,,,,,True,LOW_both,1414.6348390407668,False
Cairo,417.25925,31416.0,3.088905,30.109598,31.260157,30.1178,31.267536,fossil_Cairo_Egypt,0.11132717,71564,0.18515335,POINT(31.2804 30.0788),"POLYGON((31.697161 30.437469,30.863638 30.437469,30.866653 29.718826,31.694145 29.718826,31.697161 30.437469))",,,,,,,True,LOW_both,122.78844621259071,False
